NOTE: THIS SPREADSHEET IS FREE - you have to USE the FILE Menu: MAKE A COPY to get your own copy free!,,,,,,,,,,,,,,,,,,
Source: SpreadsheetMan,,SpreadsheetMan Wine Bottle Inventory Tracker,,,,,,,,,,,,,,,,
12/28/2019,Producer,Type / Varietal,Vintage,Name,Vineyard,Country,Region,sub-region,town/village,Bottles owned,purchase date,Bottle Size,Comment,buying and tasting notes,WS Rtg,RP Rtg,WS Timing,RP Timing
y,Chateau Beau-Sejour Becot,Bordeaux,2004,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau Malescot St Exupery,Bordeaux,2004,,,France,Margaux,,,,,750 ml,,,,,,
y,Chateau Jean-Faure,Bordeaux,2005,,,France,Saint Emilion,,,,,750 ml,,,,,,
y,Chateau Picau-Perna,Bordeaux,2003,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau LaCroix De Millorit,Bordeaux,2000,Cotes De Bourg,,France,Cotes De Bourg,,,2,,750 ml,,,,,,
y,Chateau LaCroix De Millorit,Bordeaux,2003,Cotes De Bourg,,France,Cotes De Bourg,,,2,,750 ml,,,,,,
y,Chateau Lascombes,Bordeaux,2003,,,France,Margaux,,,2,,750 ml,,,,,,
y,Chateau De Reignac,Bordeaux,2000,,,France,Bordeaux Superior,,,2,,750 ml,,,,,,
y,Ch.Greysac,Bordeaux,2001,,,France,Medoc,,,3,,750 ml,,,,,,
y,Chateau Corbin,Bordeaux,2003,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Ch. Les Farcies du Pech,Bordeaux,2000,Pecharmant,,France,Pecharmant,,,2,,750 ml,,,,,,
y,Chateau Seguin,Bordeaux,2009,,,France,Pessac-leognan,,,4,,375ml,,,,,,
y,Chateau Sociando Mallet,Bordeaux,2013,La Demoiselle de Sociando Mallet,,France,Bordeaux Superior,,,2,,750 ml,,,,,,
y,La Fleur Ribeyrolles,Bordeaux,2013,Bordeaux Superieur,,France,Bordeaux Superior,,,2,,750 ml,,,,,,
y,Chateau de Viaud,Bordeaux,2002,Lalande de pomerol,,France,Pomerol,,,1,,750 ml,,,,,,
y,Chateau Brane Cantenac,Bordeaux,2008,,,France,Margaux,,,1,,750 ml,,,,,,
y,Chateau la Tour Figeac,Bordeaux,2007,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau Grand Mayne,Bordeaux,2008,,,France,Saint Emilion,,,1,,750 ml,,,,,,
y,Chateau Malescasse,Bordeaux,2008,,,France,Haut-Medoc,,,1,,750 ml,,,,,,
y,Chateau Malescasse,Bordeaux,2010,,,France,Haut-Medoc,,,1,,750 ml,,,,,,
y,Chateau D'Aiguilhe,Bordeaux,2005,,,France,Cotes De Castillon,,,1,,750 ml,,,,,,
y,Chateau Tawzinat Hermitage,Bordeaux,2009,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau Cote Montpezat,Bordeaux,2009,,,France,Castillon,,,1,,750 ml,,,,,,
y,Ch.d'Armailhac,Bordeaux,2006,,,France,Paulliac,,,1,,750 ml,,,89,85,1997+,1994-2003
y,Chateau Quinalt,Bordeaux,2005,,,France,Saint Emilion,,,1,,750 ml,,,,,,
y,Chateau Lilian Ladouys,Bordeaux,2010,,,France,Saint Estephe,,,1,,750 ml,,,,,,
